,"subject,melody,note,onset,duration,ioi,pitch,probe,response,time,known,liked,interval,rt,musical,training,playing"
155,"6,hymn_565_b,9,8000000,1000000,1000000,74,1,2,9646532,No,4,12,1646.532,TRUE,5,8"
156,"7,hymn_007_b,26,25000000,1000000,1000000,71,1,4,27188604,No,3,5,2188.604,FALSE,0,0"
157,"7,hymn_022_b,22,21000000,1000000,1000000,75,1,1,22544537,No,3,6,1544.537,FALSE,0,0"
158,"7,hymn_025_b,9,8000000,1000000,1000000,75,1,1,9305125,No,2,12,1305.125,FALSE,0,0"
159,"7,hymn_039_b,21,20000000,1000000,1000000,64,1,4,22509445,No,3,-5,2509.445,FALSE,0,0"
160,"7,hymn_047_b,10,9000000,1000000,1000000,71,1,5,10643824,No,3,2,1643.824,FALSE,0,0"
161,"7,hymn_054_b,22,21000000,1000000,1000000,76,1,1,22881634,No,3,7,1881.634,FALSE,0,0"
162,"7,hymn_073_b,9,8000000,1000000,1000000,75,1,1,11056981,No,2,8,3056.981,FALSE,0,0"
163,"7,hymn_081_b,58,57000000,1000000,1000000,74,1,2,58564281,No,4,5,1564.281,FALSE,0,0"
164,"7,hymn_119_b,17,16000000,1000000,1000000,66,1,6,17615417,No,3,-1,1615.417,FALSE,0,0"
165,"7,hymn_124a_b,9,8000000,1000000,1000000,72,1,5,10561920,No,4,5,2561.92,FALSE,0,0"
166,"7,hymn_127_b,46,45000000,1000000,1000000,61,1,2,47742373,No,4,-1,2742.373,FALSE,0,0"
167,"7,hymn_161_b,13,12000000,1000000,1000000,65,1,6,14500853,No,3,-3,2500.853,FALSE,0,0"
168,"7,hymn_163_b,9,8000000,1000000,1000000,74,1,1,9421290,No,2,8,1421.29,FALSE,0,0"
169,"7,hymn_190_b,41,40000000,1000000,1000000,72,1,2,41274422,No,3,5,1274.422,FALSE,0,0"
170,"7,hymn_213_b,21,20000000,1000000,1000000,68,1,6,21804795,No,2,-4,1804.795,FALSE,0,0"
171,"7,hymn_233_b,18,17000000,1000000,1000000,75,1,2,18228945,No,3,7,1228.945,FALSE,0,0"
172,"7,hymn_267_b,53,52000000,1000000,1000000,68,1,5,53799731,No,3,-7,1799.731,FALSE,0,0"
173,"7,hymn_273_b,9,8000000,1000000,1000000,64,1,3,9244492,No,3,-7,1244.492,FALSE,0,0"
174,"7,hymn_291_b,14,13000000,1000000,1000000,71,1,6,14382015,No,3,-1,1382.015,FALSE,0,0"
175,"7,hymn_295_b,11,10000000,1000000,1000000,71,1,4,12003270,No,2,-5,2003.27,FALSE,0,0"
176,"7,hymn_311_b,21,20000000,1000000,1000000,74,1,3,21596004,No,4,3,1596.004,FALSE,0,0"
177,"7,hymn_388b_b,9,8000000,1000000,1000000,72,1,2,9399747,No,2,5,1399.747,FALSE,0,0"
178,"7,hymn_444_b,10,9000000,1000000,1000000,74,1,3,10471527,No,3,5,1471.527,FALSE,0,0"
179,"7,hymn_526_b,35,34000000,1000000,1000000,77,1,1,35444702,No,2,5,1444.702,FALSE,0,0"
180,"7,hymn_542_b,12,11000000,1000000,1000000,72,1,5,12685039,No,3,-4,1685.039,FALSE,0,0"
181,"7,hymn_565_b,9,8000000,1000000,1000000,74,1,1,9420874,No,2,12,1420.874,FALSE,0,0"
182,"8,hymn_007_b,26,25000000,1000000,1000000,71,1,3,28975169,No,5,5,3975.169,TRUE,11,14"
183,"8,hymn_022_b,22,21000000,1000000,1000000,75,1,2,22872411,No,4,6,1872.411,TRUE,11,14"
184,"8,hymn_025_b,9,8000000,1000000,1000000,75,1,2,10460936,No,5,12,2460.936,TRUE,11,14"
185,"8,hymn_039_b,21,20000000,1000000,1000000,64,1,3,23031075,No,3,-5,3031.075,TRUE,11,14"
186,"8,hymn_047_b,10,9000000,1000000,1000000,71,1,1,12109845,No,3,2,3109.845,TRUE,11,14"
187,"8,hymn_054_b,22,21000000,1000000,1000000,76,1,2,25235046,No,2,7,4235.046,TRUE,11,14"
188,"8,hymn_073_b,9,8000000,1000000,1000000,75,1,1,10703806,No,2,8,2703.806,TRUE,11,14"
189,"8,hymn_081_b,58,57000000,1000000,1000000,74,1,3,59841181,No,3,5,2841.181,TRUE,11,14"
190,"8,hymn_119_b,17,16000000,1000000,1000000,66,1,3,20155670,No,4,-1,4155.67,TRUE,11,14"
191,"8,hymn_124a_b,9,8000000,1000000,1000000,72,1,3,9654250,No,3,5,1654.25,TRUE,11,14"
192,"8,hymn_127_b,46,45000000,1000000,1000000,61,1,4,49996981,No,3,-1,4996.981,TRUE,11,14"
193,"8,hymn_161_b,13,12000000,1000000,1000000,65,1,5,15072864,No,2,-3,3072.864,TRUE,11,14"
194,"8,hymn_163_b,9,8000000,1000000,1000000,74,1,5,11791427,No,3,8,3791.427,TRUE,11,14"
195,"8,hymn_190_b,41,40000000,1000000,1000000,72,1,4,42031003,No,3,5,2031.003,TRUE,11,14"
196,"8,hymn_213_b,21,20000000,1000000,1000000,68,1,2,23386770,No,4,-4,3386.77,TRUE,11,14"
197,"8,hymn_233_b,18,17000000,1000000,1000000,75,1,1,20149230,No,4,7,3149.23,TRUE,11,14"
198,"8,hymn_267_b,53,52000000,1000000,1000000,68,1,4,54760692,No,4,-7,2760.692,TRUE,11,14"
199,"8,hymn_273_b,9,8000000,1000000,1000000,64,1,4,11026068,No,3,-7,3026.068,TRUE,11,14"
200,"8,hymn_291_b,14,13000000,1000000,1000000,71,1,5,17520232,No,3,-1,4520.232,TRUE,11,14"
201,"8,hymn_295_b,11,10000000,1000000,1000000,71,1,7,13099338,No,5,-5,3099.338,TRUE,11,14"
202,"8,hymn_311_b,21,20000000,1000000,1000000,74,1,2,23780542,No,2,3,3780.542,TRUE,11,14"
203,"8,hymn_388b_b,9,8000000,1000000,1000000,72,1,3,10143050,No,4,5,2143.05,TRUE,11,14"
204,"8,hymn_444_b,10,9000000,1000000,1000000,74,1,3,10744138,No,3,5,1744.138,TRUE,11,14"
205,"8,hymn_526_b,35,34000000,1000000,1000000,77,1,5,40235810,No,4,5,6235.81,TRUE,11,14"
206,"8,hymn_542_b,12,11000000,1000000,1000000,72,1,5,13798278,No,4,-4,2798.278,TRUE,11,14"
207,"8,hymn_565_b,9,8000000,1000000,1000000,74,1,4,11893166,No,5,12,3893.166,TRUE,11,14"
208,"9,hymn_007_b,26,25000000,1000000,1000000,71,1,6,26618520,No,4,5,1618.52,TRUE,14,14"
209,"9,hymn_022_b,22,21000000,1000000,1000000,75,1,4,23131941,No,4,6,2131.941,TRUE,14,14"
210,"9,hymn_025_b,9,8000000,1000000,1000000,75,1,7,8798059,No,5,12,798.059,TRUE,14,14"
211,"9,hymn_039_b,21,20000000,1000000,1000000,64,1,4,21660439,No,5,-5,1660.439,TRUE,14,14"
212,"9,hymn_047_b,10,9000000,1000000,1000000,71,1,6,10160774,No,5,2,1160.774,TRUE,14,14"
213,"9,hymn_054_b,22,21000000,1000000,1000000,76,1,5,22844812,No,4,7,1844.812,TRUE,14,14"
214,"9,hymn_073_b,9,8000000,1000000,1000000,75,1,7,8897797,No,5,8,897.797,TRUE,14,14"
215,"9,hymn_081_b,58,57000000,1000000,1000000,74,1,6,58961738,No,4,5,1961.738,TRUE,14,14"
216,"9,hymn_119_b,17,16000000,1000000,1000000,66,1,3,18524122,No,5,-1,2524.122,TRUE,14,14"
217,"9,hymn_124a_b,9,8000000,1000000,1000000,72,1,5,10018478,No,4,5,2018.478,TRUE,14,14"
218,"9,hymn_127_b,46,45000000,1000000,1000000,61,1,7,46430490,No,4,-1,1430.49,TRUE,14,14"
219,"9,hymn_161_b,13,12000000,1000000,1000000,65,1,6,13402758,No,4,-3,1402.758,TRUE,14,14"
220,"9,hymn_163_b,9,8000000,1000000,1000000,74,1,6,9500856,No,4,8,1500.856,TRUE,14,14"
221,"9,hymn_190_b,41,40000000,1000000,1000000,72,1,5,42201205,No,4,5,2201.205,TRUE,14,14"
222,"9,hymn_213_b,21,20000000,1000000,1000000,68,1,6,21389120,No,4,-4,1389.12,TRUE,14,14"
223,"9,hymn_233_b,18,17000000,1000000,1000000,75,1,5,19746315,No,4,7,2746.315,TRUE,14,14"
224,"9,hymn_267_b,53,52000000,1000000,1000000,68,1,5,53792064,No,4,-7,1792.064,TRUE,14,14"
225,"9,hymn_273_b,9,8000000,1000000,1000000,64,1,6,9278990,No,5,-7,1278.99,TRUE,14,14"
226,"9,hymn_291_b,14,13000000,1000000,1000000,71,1,7,14698094,No,5,-1,1698.094,TRUE,14,14"
227,"9,hymn_295_b,11,10000000,1000000,1000000,71,1,5,12073183,No,4,-5,2073.183,TRUE,14,14"
228,"9,hymn_311_b,21,20000000,1000000,1000000,74,1,3,21878682,No,4,3,1878.682,TRUE,14,14"
229,"9,hymn_388b_b,9,8000000,1000000,1000000,72,1,4,10273141,No,4,5,2273.141,TRUE,14,14"
230,"9,hymn_444_b,10,9000000,1000000,1000000,74,1,6,10272995,No,4,5,1272.995,TRUE,14,14"
231,"9,hymn_526_b,35,34000000,1000000,1000000,77,1,7,35079927,No,5,5,1079.927,TRUE,14,14"
232,"9,hymn_542_b,12,11000000,1000000,1000000,72,1,7,11792677,No,4,-4,792.677,TRUE,14,14"
233,"9,hymn_565_b,9,8000000,1000000,1000000,74,1,7,8932689,No,4,12,932.689,TRUE,14,14"
234,"10,hymn_007_b,26,25000000,1000000,1000000,71,1,7,28518104,Yes,3,5,3518.104,TRUE,4,7"
235,"10,hymn_022_b,22,21000000,1000000,1000000,75,1,6,22061862,No,3,6,1061.862,TRUE,4,7"
236,"10,hymn_025_b,9,8000000,1000000,1000000,75,1,5,9780898,No,3,12,1780.898,TRUE,4,7"
